Wavelength,ZnS 6.25-12.5µm (MIRMIS),CdTe 12.5-25µm (MIRMIS),Mesh 25-50µm (MIRMIS),Mesh 50-100µm (MIRMIS),Mesh 100-200µm (Cardiff),Low-pass 200µm (model),8.5-9.2µm (model filter),6.6-8.2µm (model filter),NaCl Spectrum
6.87,81.00434922,0.00956354,1.74E-06,0,0,0,0,82.89162013,68.68340295
6.88,81.63408577,0.0155188,2.52E-07,0,0,0,0,83.18642066,68.68186872
6.89,82.24340177,0.016063,5.91E-06,0,0,0,0,83.44495559,68.67683112
6.9,82.82074934,0.0221661,6.74E-07,0,0,0,0,83.67099332,68.67179351
6.91,83.30620309,0.0282582,5.76E-06,0,0,0,0,83.86800315,68.67468939
6.92,83.66896166,0.0153083,1.15E-05,0,0,0,0,84.03916618,68.6807254
6.93,83.98361914,0.0335013,1.56E-06,0,0,0,0,84.18738801,68.68676141
6.94,84.26792652,0.016605,1.72E-05,0,0,0,0,84.31531275,68.70990047
6.95,84.51167683,0.029487,1.41E-05,0,0,0,0,84.42533795,68.75119628
6.96,84.65562514,0.025299,1.31E-05,0,0,0,0,84.51962991,68.79249209
6.97,84.67612391,0.024941,7.40E-06,0,0,0,0,84.60013926,68.82906832
6.98,84.6941964,0.0363998,2.25E-05,0,0,0,0,84.6686164,68.84922745
6.99,84.70698756,0.0226033,2.28E-05,0,0,0,0,84.72662665,68.86938659
7,84.65681578,0.058894,2.06E-05,0,0,0,0,84.775565,68.88954573
7.01,84.58941668,0.0459398,2.71E-05,0,0,0,0,84.81667034,68.90132971
7.02,84.5272095,0.0558961,1.76E-05,0,0,0,0,84.851039,68.91249001
7.03,84.43475493,0.077871,2.37E-05,0,0,0,0,84.87963762,68.9236503
7.04,84.3311024,0.0661883,2.54E-05,0,0,0,0,84.90331535,68.95522989
7.05,84.26907962,0.1027281,1.44E-05,0,0,0,0,84.92281521,69.00031584
7.06,84.23729316,0.1118311,1.66E-05,0,0,0,0,84.93878476,69.04540178
7.07,84.21212739,0.1076964,1.28E-05,0,0,0,0,84.95178602,69.09004307
7.08,84.20523353,0.0888803,9.16E-06,0,0,0,0,84.96230462,69.13332341
7.09,84.21857716,0.0895256,1.24E-05,0,0,0,0,84.97075824,69.17660375
7.1,84.23365925,0.1185094,1.15E-05,0,0,0,0,84.97750442,69.21988408
7.11,84.23801651,0.0759354,1.00E-05,0,0,0,0,84.9828476,69.2574441
7.12,84.26266166,0.1298854,9.36E-06,0,0,0,0,84.98704565,69.29406105
7.13,84.3441663,0.0888435,2.07E-06,0,0,0,0,84.99031566,69.33067799
7.14,84.43970402,0.0853876,1.76E-05,0,0,0,0,84.99283934,69.35997719
7.15,84.48034942,0.0967076,7.33E-06,0,0,0,0,84.99476772,69.37988852
7.16,84.44202496,0.0857895,3.74E-06,0,0,0,0,84.99622545,69.39979985
7.17,84.36800772,0.1134566,1.19E-05,0,0,0,0,84.99731465,69.41971118
7.18,84.30947778,0.0775034,3.40E-06,0,0,0,0,84.99811825,69.44636948
7.19,84.24000425,0.1025694,8.30E-06,0,0,0,0,84.99870301,69.47313397
7.2,84.11283935,0.0720065,2.31E-06,0,0,0,0,84.99912215,69.49989846
7.21,83.93307246,0.0753768,1.93E-06,0,0,0,0,84.99941761,69.52434657
7.22,83.72471879,0.0754513,8.50E-07,0,0,0,0,84.99962211,69.54645387
7.23,83.47470251,0.0734829,1.61E-06,0,0,0,0,84.99976079,69.56856117
7.24,83.18440752,0.1040438,1.53E-05,0,0,0,0,84.99985272,69.59066847
7.25,82.88651955,0.0688272,2.56E-05,0,0,0,0,84.99991212,69.61374393
7.26,82.59670654,0.1015803,1.62E-05,0,0,0,0,84.99994939,69.63684302
7.27,82.30269123,0.0599174,2.21E-05,0,0,0,0,84.99997203,69.65994211
7.28,82.0028239,0.084215,3.08E-05,0,0,0,0,84.99998526,69.68958056
7.29,81.71567536,0.0868414,3.00E-05,0,0,0,0,84.99999265,69.72843437
7.3,81.45247875,0.0721234,2.58E-05,0,0,0,0,84.99999657,69.76728819
7.31,81.20289818,0.0768808,2.22E-05,0,0,0,0,84.99999852,69.80614201
7.32,80.97294006,0.0692126,2.55E-05,0,0,0,0,84.99999942,69.85276055
7.33,80.79920095,0.102889,3.84E-05,0,0,0,0,84.9999998,69.90103618
7.34,80.68627938,0.0623752,1.73E-05,0,0,0,0,84.99999994,69.9493118
7.35,80.60813902,0.1017059,2.18E-05,0,0,0,0,84.99999999,69.99577068
7.36,80.5706118,0.063051,3.71E-05,0,0,0,0,85,70.03484996
7.37,80.6017564,0.0947056,2.00E-05,0,0,0,0,85,70.07392925
7.38,80.70417549,0.07447,2.70E-05,0,0,0,0,85,70.11300853
7.39,80.86315492,0.0742365,3.41E-05,0,0,0,0,85,70.13282464
7.4,81.07679258,0.0831039,3.04E-05,0,0,0,0,85,70.13588628
7.41,81.34644063,0.0698052,1.60E-05,0,0,0,0,85,70.13894792
7.42,81.66707361,0.0898947,1.39E-05,0,0,0,0,85,70.14200956
7.43,82.03687403,0.0691443,1.00E-05,0,0,0,0,85,70.15351939
7.44,82.45451438,0.0927545,8.46E-06,0,0,0,0,85,70.16669375
7.45,82.91096394,0.0606073,5.10E-06,0,0,0,0,84.99999999,70.17986811
7.46,83.40849546,0.098479,2.07E-06,0,0,0,0,84.99999994,70.19112538
7.47,83.92742178,0.0884377,1.05E-05,0,0,0,0,84.9999998,70.18488173
7.48,84.43342382,0.0914399,2.45E-05,0,0,0,0,84.99999942,70.17863808
7.49,84.9340629,0.0534719,1.21E-05,0,0,0,0,84.99999852,70.17239443
7.5,85.43697495,0.090078,2.94E-05,0,0,0,0,84.99999657,70.17243278
7.51,85.91434068,0.0394488,2.52E-05,0,0,0,0,84.99999265,70.18590572
7.52,86.36095168,0.0802962,1.37E-05,0,0,0,0,84.99998526,70.19937867
7.53,86.77425381,0.0536336,2.94E-05,0,0,0,0,84.99997203,70.21285162
7.54,87.13738872,0.0713761,2.28E-05,0,0,0,0,84.99994939,70.21448413
7.55,87.43998248,0.039753,2.77E-05,0,0,0,0,84.99991212,70.20454173
7.56,87.67992234,0.0385118,5.44E-05,0,0,0,0,84.99985272,70.19459934
7.57,87.85328416,0.0400328,6.25E-05,0,0,0,0,84.99976079,70.18465694
7.58,87.96370904,0.0552652,8.01E-05,0,0,0,0,84.99962211,70.17319549
7.59,88.00764657,0.0474924,9.31E-05,0,0,0,0,84.99941761,70.16092947
7.6,87.96742236,0.0524136,0.000102539,0,0,0,0,84.99912215,70.14866345
7.61,87.84443817,0.0475286,0.000114289,0,0,0,0,84.99870301,70.13639742
7.62,87.67372326,0.0562711,0.000122497,0,0,0,0,84.99811825,70.11962383
7.63,87.4714699,0.0638474,0.000134696,0,0,0,0,84.99731465,70.10144411
7.64,87.22665628,0.0549946,0.000136014,0,0,0,0,84.99622545,70.0832644
7.65,86.93125346,0.0587662,0.0001377,0,0,0,0,84.99476772,70.06508469
7.66,86.59363702,0.041508,9.39E-05,0,0,0,0,84.99283934,70.05735199
7.67,86.22882795,0.0682867,6.03E-05,0,0,0,0,84.99031566,70.05175124
7.68,85.85389072,0.0440613,6.89E-05,0,0,0,0,84.98704565,70.04615048
7.69,85.47785917,0.0588273,9.92E-05,0,0,0,0,84.9828476,70.04054973
7.7,85.09723793,0.0379929,9.85E-05,0,0,0,0,84.97750442,70.04766129
7.71,84.71262415,0.0659463,8.90E-05,0,0,0,0,84.97075824,70.05687713
7.72,84.33768735,0.0618409,9.79E-05,0,0,0,0,84.96230462,70.06609297
7.73,83.98581919,0.0640263,0.000108611,0,0,0,0,84.95178602,70.07530882
7.74,83.66042626,0.0355509,0.000119674,0,0,0,0,84.93878476,70.07869074
7.75,83.36147242,0.0682159,0.000127857,0,0,0,0,84.92281521,70.08099417
7.76,83.09605458,0.0389052,0.000150374,0,0,0,0,84.90331535,70.0832976
7.77,82.86545697,0.0702024,0.000153269,0,0,0,0,84.87963762,70.08560104
7.78,82.6661061,0.0527312,0.000151655,0,0,0,0,84.851039,70.07217761
7.79,82.50384521,0.0683456,0.000153769,0,0,0,0,84.81667034,70.05436533
7.8,82.38960952,0.0640574,0.000161069,0,0,0,0,84.775565,70.03655305
7.81,82.32388692,0.0753225,0.00015832,0,0,0,0,84.72662665,70.01874077
7.82,82.2904064,0.0629557,0.000159353,0,0,0,0,84.6686164,70.00968221
7.83,82.28592129,0.062276,0.000139217,0,0,0,0,84.60013926,70.00468922
7.84,82.31191868,0.0746867,0.00014106,0,0,0,0,84.51962991,69.99969623
7.85,82.36969222,0.0652241,0.000146407,0,0,0,0,84.42533795,69.99470324
7.86,82.46235142,0.0817326,0.000123385,0,0,0,0,84.31531275,69.9881337
7.87,82.58609673,0.0500619,0.000129568,0,0,0,0,84.18738801,69.98022349
7.88,82.73047713,0.0893301,0.000119057,0,0,0,0,84.03916618,69.97231327
7.89,82.88260506,0.0684981,0.00011066,0,0,0,0,83.86800315,69.96440306
7.9,83.04253427,0.0699789,0.000115967,0,0,0,0,83.67099332,69.95589289
7.91,83.21689667,0.0482791,9.78E-05,0,0,0,0,83.44495559,69.94628712
7.92,83.40809734,0.071204,8.47E-05,0,0,0,0,83.18642066,69.93668135
7.93,83.60494697,0.0493869,6.83E-05,0,0,0,0,82.89162013,69.92707558
7.94,83.79178473,0.0332276,7.97E-05,0,0,0,0,82.55647815,69.91791664
7.95,83.96279307,0.0216252,5.88E-05,0,0,0,0,82.17660631,69.91196198
7.96,84.11602766,0.0234463,4.98E-05,0,0,0,0,81.74730265,69.90600731
7.97,84.25952213,0,5.59E-05,0,0,0,0,81.26355582,69.90005265
7.98,84.40525046,0.001068,5.52E-05,0,0,0,0,80.72005539,69.89409799
7.99,84.55339375,0.00709043,5.66E-05,0,0,0,0,80.11120974,69.88370006
8,84.68759073,0,6.54E-05,0,0,0,0,79.43117274,69.87248917
8.01,84.7976438,0.00408515,6.39E-05,0,0,0,0,78.67388075,69.86127828
8.02,84.88379416,0.00273108,6.73E-05,0,0,0,0,77.83310155,69.85006739
8.03,84.95251273,0.00843304,7.16E-05,0,0,0,0,76.90249659,69.84264433
8.04,85.01217048,0.000410439,5.08E-05,0,0,0,0,75.87569846,69.83869054
8.05,85.06799914,0.0126036,6.08E-05,0,0,0,0,74.74640469,69.83473674
8.06,85.12139967,0.00459361,4.67E-05,0,0,0,0,73.50848956,69.83078295
8.07,85.16641383,0.00250858,3.55E-05,0,0,0,0,72.15613468,69.82524384
8.08,85.19132545,0.021372,3.78E-05,0,0,0,0,70.68397911,69.81035375
8.09,85.19601432,0.00492963,2.56E-05,0,0,0,0,69.08728888,69.79546366
8.1,85.19452147,0.00879832,3.98E-05,0,0,0,0,67.36214526,69.78057357
8.11,85.20136498,0.000406666,3.89E-05,0,0,0,0,65.50564986,69.76568348
8.12,85.21938772,0.00525245,3.59E-05,0,0,0,0,63.51614368,69.74100065
8.13,85.23877206,0.0047503,3.99E-05,0,0,0,0,61.39343567,69.71263203
8.14,85.25072465,0.00741058,2.14E-05,0,0,0,0,59.13903475,69.68426341
8.15,85.25797447,0.00482452,1.53E-05,0,0,0,0,56.75637748,69.65589479
8.16,85.26813825,0.00831289,3.87E-05,0,0,0,0,54.25104175,69.6229634
8.17,85.28880998,0.00357449,3.22E-05,0,0,0,0,51.63093507,69.57700983
8.18,85.32150178,0.00488751,1.36E-05,0,0,0,0,48.90644418,69.53105626
8.19,85.36650895,0.00693477,2.39E-05,0,0,0,0,46.09053169,69.48510269
8.2,85.42602575,0.0129448,2.10E-05,0,0,0,0,43.19876446,69.43914912
8.21,85.49080064,0.00572156,3.40E-05,0,0,0,0,40.24925878,69.40298377
8.22,85.55041802,0.00393509,1.72E-05,0,0,0,0,37.26252823,69.37020533
8.23,85.61176721,0.0104683,1.69E-05,0,0,0,0,34.26122291,69.3374269
8.24,85.68386479,0,1.28E-05,0,0,0,0,31.2697525,69.30464846
